Id,AVERAGE of TotalSteps,,sleepDay_merged.Id,sleepDay_merged.ActivityDate,AVERAGE of sleepDay_merged.TotalMinutesAsleep
1503960366,"12,116.74",,1503960366,4/12/2016,327
1624580081,"5,743.90",,,5/12/2016,384
1644430081,"7,282.97",,,6/12/2016,412
1844505072,"2,580.06",,,7/12/2016,340
1927972279,916.13,,,8/12/2016,700
2022484408,"11,370.65",,,9/12/2016,304
2026352035,"5,566.87",,,10/12/2016,360
2320127002,"4,716.87",,,11/12/2016,325
2347167796,"9,519.67",,,12/12/2016,361
2873212765,"7,555.77",,,13/12/2016,430
3372868164,"6,861.65",,,14/12/2016,277
3977333714,"10,984.57",,,15/12/2016,245
4020332650,"2,267.23",,,16/12/2016,366
4057192912,"3,838.00",,,17/12/2016,341
4319703577,"7,268.84",,,18/12/2016,404
4388161847,"10,813.94",,,19/12/2016,369
4445114986,"4,796.55",,,20/12/2016,277
4558609924,"7,685.13",,,21/12/2016,273
4702921684,"8,572.06",,,22/12/2016,247
5553957443,"8,612.58",,,23/12/2016,334
5577150313,"8,304.43",,,24/12/2016,331
6117666160,"7,046.71",,,25/12/2016,594
6290855005,"5,649.55",,,26/12/2016,338
6775888955,"2,519.69",,,27/12/2016,383
6962181067,"9,794.81",,,28/12/2016,285
7007744171,"11,323.42",,1503960366 Total,,360.28
7086361926,"9,371.77",,1644430081,29/12/2016,119
8053475328,"14,763.29",,,30/12/2016,124
8253242879,"6,482.16",,,31/12/2016,796
8378563200,"8,717.71",,,1/1/2017,137
8583815059,"7,198.52",,1644430081 Total,,294
8792009665,"1,853.72",,1844505072,2/1/2017,644
8877689391,"16,040.03",,,3/1/2017,722
Grand Total,"9,373.27",,,4/1/2017,590
,,,1844505072 Total,,652
,,,1927972279,5/1/2017,750
,,,,6/1/2017,398
,,,,7/1/2017,475
,,,,8/1/2017,296
,,,,9/1/2017,166
,,,1927972279 Total,,417
,,,2026352035,10/1/2017,503
,,,,11/1/2017,531
,,,,12/1/2017,545
,,,,13/1/2017,523
,,,,14/1/2017,524
,,,,15/1/2017,437
,,,,16/1/2017,498
,,,,17/1/2017,461
,,,,18/1/2017,477
,,,,19/1/2017,520
,,,,20/1/2017,522
,,,,21/1/2017,555
,,,,22/1/2017,506
,,,,23/1/2017,508
,,,,24/1/2017,513
,,,,25/1/2017,490
,,,,26/1/2017,573
,,,,27/1/2017,527
,,,,28/1/2017,511
,,,,29/1/2017,538
,,,,30/1/2017,468
,,,,31/1/2017,524
,,,,1/2/2017,511
,,,,2/2/2017,541
,,,,3/2/2017,531
,,,,4/2/2017,357
,,,,5/2/2017,523
,,,,6/2/2017,456
,,,2026352035 Total,,506.1785714
,,,2320127002,7/2/2017,61
,,,2320127002 Total,,61
,,,2347167796,8/2/2017,467
,,,,9/2/2017,445
,,,,10/2/2017,452
,,,,11/2/2017,556
,,,,12/2/2017,500
,,,,13/2/2017,465
,,,,14/2/2017,460
,,,,15/2/2017,405
,,,,16/2/2017,374
,,,,17/2/2017,442
,,,,18/2/2017,433
,,,,19/2/2017,436
,,,,20/2/2017,448
,,,,21/2/2017,408
,,,,22/2/2017,411
,,,2347167796 Total,,446.8
,,,3977333714,23/2/2017,274
,,,,24/2/2017,295
,,,,25/2/2017,291
,,,,26/2/2017,424
,,,,27/2/2017,283
,,,,28/2/2017,381
,,,,1/3/2017,412
,,,,2/3/2017,219
,,,,3/3/2017,152
,,,,4/3/2017,332
,,,,5/3/2017,355
,,,,6/3/2017,235
,,,,7/3/2017,310
,,,,8/3/2017,262
,,,,9/3/2017,250
,,,,10/3/2017,349
,,,,11/3/2017,261
,,,,12/3/2017,333
,,,,13/3/2017,237
,,,,14/3/2017,383
,,,,15/3/2017,230
,,,,16/3/2017,292
,,,,17/3/2017,213
,,,,18/3/2017,318
,,,,19/3/2017,323
,,,,20/3/2017,237
,,,,21/3/2017,259
,,,,22/3/2017,312
,,,3977333714 Total,,293.6428571
,,,4020332650,23/3/2017,501
,,,,24/3/2017,77
,,,,25/3/2017,322
,,,,26/3/2017,478
,,,,27/3/2017,226
,,,,28/3/2017,385
,,,,29/3/2017,364
,,,,30/3/2017,442
,,,4020332650 Total,,349.375
,,,4319703577,31/3/2017,535
,,,,1/4/2017,465
,,,,2/4/2017,506
,,,,3/4/2017,515
,,,,4/4/2017,461
,,,,5/4/2017,523
,,,,6/4/2017,59
,,,,7/4/2017,533
,,,,8/4/2017,692
,,,,9/4/2017,467
,,,,10/4/2017,488
,,,,11/4/2017,505
,,,,12/4/2017,286
,,,,13/4/2017,497
,,,,14/4/2017,523
,,,,15/4/2017,490
,,,,16/4/2017,484
,,,,17/4/2017,478
,,,,18/4/2017,474
,,,,19/4/2017,450
,,,,20/4/2017,507
,,,,21/4/2017,602
,,,,22/4/2017,535
,,,,23/4/2017,487
,,,,24/4/2017,529
